구분,파일위치,파일명,상세기능설명
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/ai/rag,__init__.py,"RAG 파이프라인 단계(전처리, 임베딩, 적재, 검색)를 구성하는 모듈이다."
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/ai/rag,chunker.py,원문 문서를 검색 친화적인 청크로 분할하고 메타데이터를 유지해 임베딩 품질을 높인다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/ai/rag,data_processor.py,RAG 학습 데이터 정규화/정제 로직을 제공해 인덱싱 전 데이터 품질을 확보한다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/ai/rag,document_processor.py,파일 유형별 문서 파싱을 수행해 텍스트/구조 정보를 통합된 내부 포맷으로 변환한다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/ai/rag,embedder.py,문서 청크를 임베딩 벡터로 변환하고 벡터 저장소 입력 형식으로 가공한다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/ai/rag,postgres_loader.py,PostgreSQL에서 참조 데이터를 읽어 RAG 인덱싱에 필요한 레코드를 적재한다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/chroma,__init__.py,Chroma 벡터DB 연결/컬렉션/검색/적재를 담당하는 데이터 계층 모듈이다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/chroma,client.py,ChromaDB 클라이언트 생성 및 연결 수명주기를 관리한다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/chroma,collections.py,컬렉션 생성/조회/삭제 등 Chroma 컬렉션 관리 기능을 제공한다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/chroma,config.py,"ChromaDB 접속 경로, 컬렉션명, 임베딩 관련 설정값을 중앙 관리한다."
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/chroma,loader.py,문서와 임베딩을 Chroma에 대량 적재하는 로더 역할을 수행한다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/chroma,operations.py,"벡터 검색, upsert, 삭제 등 Chroma 운용 작업을 추상화한다."
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/chroma,utils.py,Chroma 연동 과정에서 공통으로 사용하는 유틸리티 함수를 제공한다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/control,__init__.py,온실 제어 스케줄/릴레이 동작/작업 실행을 담당하는 제어 계층 모듈이다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/control,relay_manager.py,온실 장비 릴레이의 상태 전환/안전 조건 검증/실행 이력을 관리한다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/control,schedule_control.py,설정된 스케줄에 따라 제어 작업을 생성하고 실행 타이밍을 계산한다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/control,task_scheduler.py,주기 작업과 예약 작업을 스케줄러에 등록해 백그라운드 실행을 orchestrate 한다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/postgresql,__init__.py,"PostgreSQL 접근, 쿼리 실행, 결과 변환을 처리하는 데이터 접근 계층 모듈이다."
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/postgresql,connection.py,"PostgreSQL 연결 생성, 재시도, 종료 등 커넥션 수명주기 관리를 담당한다."
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/postgresql,queries.py,서비스에서 공통으로 사용하는 SQL 쿼리문을 모듈화해 재사용한다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/postgresql,reader.py,DB 조회 결과를 애플리케이션 객체/데이터프레임 형태로 변환해 상위 계층에 제공한다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/ui_reflex,__init__.py,Reflex 기반 UI 라우팅/상태/스타일을 구성하는 웹 인터페이스 모듈이다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/ui_reflex,main.py,Reflex 기반 웹 UI의 루트 페이지/레이아웃을 구성하는 진입점이다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/ui_reflex,state.py,채팅/파일업로드/학습 진행 상태 등 UI 전역 상태와 이벤트 핸들러를 관리한다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/ui_reflex,styles.py,Reflex 컴포넌트 스타일 토큰과 공통 디자인 설정을 정의한다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/ui_reflex/components,__init__.py,Reflex UI의 화면 구성 요소를 정의하는 프론트엔드 컴포넌트 모듈이다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/ui_reflex/components,chat.py,대화 로그 렌더링과 메시지 표시 로직을 담당하는 채팅 영역 컴포넌트다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/ui_reflex/components,chat_input.py,"질문 입력, 제출 이벤트, 입력 검증을 담당하는 채팅 입력 컴포넌트다."
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/ui_reflex/components,file_upload.py,학습 문서 업로드 UI와 업로드 트리거 동작을 제공한다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/ui_reflex/components,sidebar.py,대화/설정/상태 정보를 보여주는 사이드바 UI 컴포넌트를 구성한다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/utils,__init__.py,패키지 초기화 파일로 모듈 경계를 정의하고 공용 심볼 노출/초기 설정을 수행한다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/utils,conversion.py,단위/자료형 변환 및 포맷팅 관련 공통 변환 함수를 제공한다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/utils,date_utils.py,날짜/시간 계산과 문자열 포맷 변환을 담당하는 유틸리티를 제공한다.
소스코드파일,/workspace/jayeondeule/agri_ai_core/src/utils,validators.py,입력값 및 설정값의 유효성 검증 로직을 중앙화한다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.1.0--0.1.1.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.1.1--0.1.3.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.1.3--0.1.4.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.1.4--0.1.5.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.1.5--0.1.6.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.1.6--0.1.7.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.1.7--0.1.8.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.1.8--0.2.0.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.2.0--0.2.1.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.2.1--0.2.2.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.2.2--0.2.3.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.2.3--0.2.4.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.2.4--0.2.5.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.2.5--0.2.6.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.2.6--0.2.7.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.2.7--0.3.0.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.3.0--0.3.1.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.3.1--0.3.2.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.3.2--0.4.0.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.4.0--0.4.1.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.4.1--0.4.2.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.4.2--0.4.3.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.4.3--0.4.4.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.4.4--0.5.0.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.5.0--0.5.1.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.5.1--0.6.0.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.6.0--0.6.1.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.6.1--0.6.2.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.6.2--0.7.0.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.7.0--0.7.1.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.7.1--0.7.2.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.7.2--0.7.3.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.7.3--0.7.4.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.7.4--0.8.0.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector--0.8.0.sql,pgvector 버전 간 호환성을 유지하기 위한 마이그레이션 SQL 스크립트다.
소스코드파일,/workspace/jayeondeule/pgvector/sql,vector.sql,"pgvector 신규 설치 시 필요한 타입, 함수, 연산자, 인덱스 지원 객체를 생성하는 기준 SQL 스크립트다."
소스코드파일,/workspace/jayeondeule/pgvector/src,bitutils.c,bit 벡터 연산 최적화를 위한 저수준 유틸리티를 제공한다.
소스코드파일,/workspace/jayeondeule/pgvector/src,bitutils.h,pgvector 확장 내부 구현 파일로 벡터 타입/인덱스/연산의 저수준 로직을 담당한다.
소스코드파일,/workspace/jayeondeule/pgvector/src,bitvec.c,비트 벡터 타입의 거리 계산 및 인덱싱 연산을 구현한다.
소스코드파일,/workspace/jayeondeule/pgvector/src,bitvec.h,pgvector 확장 내부 구현 파일로 벡터 타입/인덱스/연산의 저수준 로직을 담당한다.
소스코드파일,/workspace/jayeondeule/pgvector/src,halfutils.c,half precision 연산 보조 함수와 변환 유틸리티를 제공한다.
소스코드파일,/workspace/jayeondeule/pgvector/src,halfutils.h,pgvector 확장 내부 구현 파일로 벡터 타입/인덱스/연산의 저수준 로직을 담당한다.
소스코드파일,/workspace/jayeondeule/pgvector/src,halfvec.c,half precision 벡터 타입의 변환/연산/비교 기능을 구현한다.
소스코드파일,/workspace/jayeondeule/pgvector/src,halfvec.h,pgvector 확장 내부 구현 파일로 벡터 타입/인덱스/연산의 저수준 로직을 담당한다.
소스코드파일,/workspace/jayeondeule/pgvector/src,hnsw.c,HNSW 인덱스 그래프 구조와 검색 기본 동작을 구현한다.
소스코드파일,/workspace/jayeondeule/pgvector/src,hnsw.h,pgvector 확장 내부 구현 파일로 벡터 타입/인덱스/연산의 저수준 로직을 담당한다.
소스코드파일,/workspace/jayeondeule/pgvector/src,hnswbuild.c,HNSW 인덱스 생성 시 레이어/그래프 구축 알고리즘을 구현한다.
소스코드파일,/workspace/jayeondeule/pgvector/src,hnswinsert.c,HNSW 인덱스에 신규 벡터 삽입 시 연결 갱신 로직을 제공한다.
소스코드파일,/workspace/jayeondeule/pgvector/src,hnswscan.c,HNSW 기반 최근접 탐색 시 후보 확장과 우선순위 탐색을 수행한다.
소스코드파일,/workspace/jayeondeule/pgvector/src,hnswutils.c,HNSW 내부 자료구조 처리와 공통 연산 유틸리티를 제공한다.
소스코드파일,/workspace/jayeondeule/pgvector/src,hnswvacuum.c,HNSW 인덱스 정리 및 유지보수(vacuum) 로직을 구현한다.
소스코드파일,/workspace/jayeondeule/pgvector/src,ivfbuild.c,IVFFlat 인덱스 생성 시 클러스터 구성과 초기화 절차를 구현한다.
소스코드파일,/workspace/jayeondeule/pgvector/src,ivfflat.c,IVFFlat 인덱스 접근 방법의 빌드/검색 핵심 로직을 제공한다.
소스코드파일,/workspace/jayeondeule/pgvector/src,ivfflat.h,pgvector 확장 내부 구현 파일로 벡터 타입/인덱스/연산의 저수준 로직을 담당한다.
소스코드파일,/workspace/jayeondeule/pgvector/src,ivfinsert.c,IVFFlat 인덱스에 벡터를 삽입할 때의 경로 선택과 저장 처리를 담당한다.
소스코드파일,/workspace/jayeondeule/pgvector/src,ivfkmeans.c,IVFFlat 클러스터 중심 계산을 위한 K-means 학습 로직을 구현한다.
소스코드파일,/workspace/jayeondeule/pgvector/src,ivfscan.c,IVFFlat 인덱스 스캔 시 후보 탐색과 거리 정렬 과정을 구현한다.
소스코드파일,/workspace/jayeondeule/pgvector/src,ivfutils.c,"IVFFlat 관련 공통 유틸리티(거리 계산 보조, 내부 도우미)를 제공한다."
소스코드파일,/workspace/jayeondeule/pgvector/src,ivfvacuum.c,IVFFlat 인덱스의 vacuum/정리 작업을 처리한다.
소스코드파일,/workspace/jayeondeule/pgvector/src,sparsevec.c,희소 벡터 타입의 저장 구조와 유사도 계산 로직을 구현한다.
소스코드파일,/workspace/jayeondeule/pgvector/src,sparsevec.h,pgvector 확장 내부 구현 파일로 벡터 타입/인덱스/연산의 저수준 로직을 담당한다.
소스코드파일,/workspace/jayeondeule/pgvector/src,vector.c,"pgvector의 기본 vector 타입 연산(거리 계산, 입출력, 연산자 구현)을 제공하는 핵심 C 소스다."
소스코드파일,/workspace/jayeondeule/pgvector/src,vector.h,pgvector 확장 내부 구현 파일로 벡터 타입/인덱스/연산의 저수준 로직을 담당한다.
소스코드파일,/workspace/jayeondeule/pgvector/test/sql,bit.sql,pgvector 기능(`bit`)의 정확성과 회귀 여부를 검증하는 SQL 테스트 시나리오다.
소스코드파일,/workspace/jayeondeule/pgvector/test/sql,btree.sql,pgvector 기능(`btree`)의 정확성과 회귀 여부를 검증하는 SQL 테스트 시나리오다.
소스코드파일,/workspace/jayeondeule/pgvector/test/sql,cast.sql,pgvector 기능(`cast`)의 정확성과 회귀 여부를 검증하는 SQL 테스트 시나리오다.
소스코드파일,/workspace/jayeondeule/pgvector/test/sql,copy.sql,pgvector 기능(`copy`)의 정확성과 회귀 여부를 검증하는 SQL 테스트 시나리오다.
소스코드파일,/workspace/jayeondeule/pgvector/test/sql,halfvec.sql,pgvector 기능(`halfvec`)의 정확성과 회귀 여부를 검증하는 SQL 테스트 시나리오다.
소스코드파일,/workspace/jayeondeule/pgvector/test/sql,hnsw_bit.sql,pgvector 기능(`hnsw_bit`)의 정확성과 회귀 여부를 검증하는 SQL 테스트 시나리오다.
소스코드파일,/workspace/jayeondeule/pgvector/test/sql,hnsw_halfvec.sql,pgvector 기능(`hnsw_halfvec`)의 정확성과 회귀 여부를 검증하는 SQL 테스트 시나리오다.
소스코드파일,/workspace/jayeondeule/pgvector/test/sql,hnsw_sparsevec.sql,pgvector 기능(`hnsw_sparsevec`)의 정확성과 회귀 여부를 검증하는 SQL 테스트 시나리오다.
소스코드파일,/workspace/jayeondeule/pgvector/test/sql,hnsw_vector.sql,pgvector 기능(`hnsw_vector`)의 정확성과 회귀 여부를 검증하는 SQL 테스트 시나리오다.
소스코드파일,/workspace/jayeondeule/pgvector/test/sql,ivfflat_bit.sql,pgvector 기능(`ivfflat_bit`)의 정확성과 회귀 여부를 검증하는 SQL 테스트 시나리오다.
소스코드파일,/workspace/jayeondeule/pgvector/test/sql,ivfflat_halfvec.sql,pgvector 기능(`ivfflat_halfvec`)의 정확성과 회귀 여부를 검증하는 SQL 테스트 시나리오다.
소스코드파일,/workspace/jayeondeule/pgvector/test/sql,ivfflat_vector.sql,pgvector 기능(`ivfflat_vector`)의 정확성과 회귀 여부를 검증하는 SQL 테스트 시나리오다.
소스코드파일,/workspace/jayeondeule/pgvector/test/sql,sparsevec.sql,pgvector 기능(`sparsevec`)의 정확성과 회귀 여부를 검증하는 SQL 테스트 시나리오다.
소스코드파일,/workspace/jayeondeule/pgvector/test/sql,vector_type.sql,pgvector 기능(`vector_type`)의 정확성과 회귀 여부를 검증하는 SQL 테스트 시나리오다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,001_ivfflat_wal.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`001_ivfflat_wal`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,002_ivfflat_vacuum.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`002_ivfflat_vacuum`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,003_ivfflat_vector_build_recall.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`003_ivfflat_vector_build_recall`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,004_ivfflat_vector_insert_recall.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`004_ivfflat_vector_insert_recall`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,005_ivfflat_query_recall.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`005_ivfflat_query_recall`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,006_ivfflat_lists.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`006_ivfflat_lists`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,007_ivfflat_inserts.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`007_ivfflat_inserts`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,008_ivfflat_centers.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`008_ivfflat_centers`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,009_ivfflat_filtering.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`009_ivfflat_filtering`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,010_hnsw_wal.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`010_hnsw_wal`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,011_hnsw_vacuum.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`011_hnsw_vacuum`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,012_hnsw_vector_build_recall.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`012_hnsw_vector_build_recall`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,013_hnsw_vector_insert_recall.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`013_hnsw_vector_insert_recall`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,014_hnsw_vector_vacuum_recall.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`014_hnsw_vector_vacuum_recall`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,015_hnsw_vector_duplicates.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`015_hnsw_vector_duplicates`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,016_hnsw_inserts.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`016_hnsw_inserts`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,017_hnsw_filtering.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`017_hnsw_filtering`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,018_aggregates.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`018_aggregates`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,019_storage.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`019_storage`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,020_hnsw_bit_build_recall.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`020_hnsw_bit_build_recall`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,021_hnsw_bit_insert_recall.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`021_hnsw_bit_insert_recall`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,022_hnsw_bit_vacuum_recall.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`022_hnsw_bit_vacuum_recall`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,023_hnsw_bit_duplicates.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`023_hnsw_bit_duplicates`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,024_hnsw_halfvec_build_recall.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`024_hnsw_halfvec_build_recall`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,025_hnsw_halfvec_insert_recall.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`025_hnsw_halfvec_insert_recall`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,026_hnsw_halfvec_vacuum_recall.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`026_hnsw_halfvec_vacuum_recall`)다.
소스코드파일,/workspace/jayeondeule/pgvector/test/t,027_hnsw_halfvec_duplicates.pl,pgvector 회귀 테스트를 자동 수행하는 Perl 테스트 드라이버(`027_hnsw_halfvec_duplicates`)다.
