구분,파일위치,파일명,상세 기능 설명
소스코드,/workspace/jayeondeule/agri_ai_core/,run_scheduler.py,"백그라운드 서비스 러너. ChromaDB 초기화와 스케줄러(조명/관수밸브 자동제어)를 별도 프로세스로 상시 실행하며, SIGTERM/SIGINT 시그널을 처리하여 안전하게 종료한다."
소스코드,/workspace/jayeondeule/agri_ai_core/,test_rag.py,"RAG 파이프라인 테스트 스크립트. ChromaDB 연결, 텍스트 청킹, 임베딩 생성, 파일/대화 저장, 유사도 조회 등 6가지 테스트를 수행하여 RAG 시스템의 정상 동작을 검증한다."
소스코드,/workspace/jayeondeule/agri_ai_core/main/,__init__.py,"Reflex 앱 main 패키지 초기화 모듈. Reflex가 main 모듈을 인식할 수 있도록 패키지로 등록한다."
소스코드,/workspace/jayeondeule/agri_ai_core/main/,main.py,"Reflex 앱 엔트리 포인트. rxconfig.py의 app_name과 일치하는 구조를 제공하며, 프로젝트 루트를 sys.path에 추가하여 모듈 import 경로를 보정한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/,__init__.py,"src 패키지 초기화 모듈. src 하위 모듈들을 패키지로 인식할 수 있도록 등록한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/,logs.py,"통합 로깅 모듈(161줄). 날짜별 자동 로테이션 파일 핸들러와 콘솔 핸들러를 설정하여 프로젝트 전체의 로그를 일관된 포맷으로 관리한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/utils/,__init__.py,"utils 패키지 초기화 모듈. validators, conversion, date_utils 등 유틸리티 모듈을 패키지로 등록한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/utils/,validators.py,"데이터 검증 모듈. 센서 값을 float로 안전하게 변환하고 불리언 값을 파싱하는 함수를 제공하여 입력 데이터의 유효성을 보장한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/utils/,conversion.py,"단위 변환 유틸리티. 센서 raw 데이터를 표준 단위로 변환하고, 릴레이 데이터를 추출하며, JSON 형식의 relay_stats를 파싱하여 표준화된 데이터 구조를 제공한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/utils/,date_utils.py,"날짜 유틸리티 모듈. 다양한 형식의 날짜/시간 문자열(ISO, 한국어 등)을 datetime 객체로 변환하여 날짜 처리의 일관성을 유지한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/postgresql/,__init__.py,"postgresql 패키지 초기화 모듈. connection, queries, reader 모듈을 패키지로 등록한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/postgresql/,connection.py,"PostgreSQL 연결 관리 모듈. MCP postgres 우선 모드와 direct DB(psycopg2) fallback을 지원하며, 싱글톤 DatabaseHandler로 연결 풀을 관리하고 쿼리 실행/결과 조회를 처리한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/postgresql/,queries.py,"SQL 쿼리 정의 모듈. 농장/재배사 정보, 센서 데이터, 릴레이 제어, 최적 조건, 조명/관수 설정 등 40개 이상의 SQL 쿼리를 상수로 정의하여 중앙 관리한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/postgresql/,reader.py,"PostgreSQL 데이터 수집 모듈. 농장-재배사 목록, Units/Crops 데이터, 센서 히스토리, 최적 조건, 릴레이 정보 등을 조회하고 마지막 조회 시간을 업데이트한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/chroma/,__init__.py,"chroma 패키지 초기화 모듈. client, collections, operations, loader, utils 등 ChromaDB 관련 모듈을 패키지로 등록한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/chroma/,config.py,"ChromaDB 설정 모듈. 호스트, 포트, tenant, database, API base URL 등의 접속 상수와 컬렉션 ID 캐시를 정의한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/chroma/,client.py,"ChromaDB 클라이언트 모듈. heartbeat 체크, 컬렉션 생성/조회/목록화, 필수 컬렉션(farm, source, stats 등) 존재 확인 등 벡터 DB의 기본 API 통신 기능을 제공한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/chroma/,collections.py,"ChromaDB 컬렉션 관리 모듈. farm, source, stats, optimal, learned, document 등 10개의 컬렉션 이름을 반환하는 함수와 전체 컬렉션 목록 조회 함수를 제공한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/chroma/,operations.py,"ChromaDB 데이터 작업 모듈(453줄). 문서 추가/조회/삭제, 업서트(upsert), 벡터 유사도 검색, 메타데이터 필터링 변환 등 실제 데이터 CRUD 기능을 제공한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/chroma/,loader.py,"ChromaDB 데이터 로더(404줄). 학습 상태 관리, 학습된/미학습 데이터 조회, 유사도 검색(similarity search), 학습 플래그 업데이트 등 학습 데이터 라이프사이클을 관리한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/chroma/,utils.py,"ChromaDB 유틸리티 모듈. 메타데이터 정제(datetime→str 변환), JSON 호환 변환, doc_id 해시 생성 등 ChromaDB 작업에 필요한 헬퍼 함수를 제공한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/ai/,__init__.py,"ai 패키지 초기화 모듈. llm_client, mcp_client, query_handler, tools 등 AI 관련 모듈을 패키지로 등록한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/ai/,llm_client.py,"Ollama LLM 클라이언트 모듈. 스트리밍/비스트리밍 응답 생성, 토큰 제한(max_tokens), 타임아웃 처리, 모델 응답 후처리(불필요 think 태그 제거) 등을 수행한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/ai/,mcp_client.py,"MCP(Model Context Protocol) 클라이언트. HTTP fetch, 웹 검색, PostgreSQL 쿼리 등의 MCP 도구를 호출하고, DNS 진단, 재시도 로직, 타임아웃 처리를 관리한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/ai/,query_handler_simple.py,"통합 쿼리 핸들러. 사용자 질문을 분석하여 PostgreSQL 데이터, ChromaDB 벡터 유사도 검색, 웹 검색 결과를 수집하고 LLM 프롬프트를 구성하여 최종 응답을 생성/반환한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/ai/,file_processor.py,"파일 처리 모듈. CSV, TXT, PDF, DOCX 등 다양한 포맷의 업로드 파일을 읽어 텍스트를 추출하고, 파일 메타데이터를 포함하여 RAG 파이프라인에 전달한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/ai/,tools_definition.py,"LLM 도구 정의 모듈. 릴레이 제어(on/off), 센서 데이터 조회, 웹 검색 등 LLM이 function calling으로 사용할 수 있는 도구들의 JSON 스키마를 정의한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/ai/,tools_executor.py,"LLM 도구 실행 모듈. LLM이 요청한 function call을 실제로 실행(릴레이 제어, 센서 조회, 웹 검색 등)하고 결과를 LLM에 반환한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/ai/rag/,__init__.py,"rag 패키지 초기화 모듈. chunker, embedder, document_processor, data_processor 등 RAG 파이프라인 모듈을 패키지로 등록한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/ai/rag/,chunker.py,"텍스트 청킹 모듈. 긴 문서를 chunk_size(기본 500자)와 chunk_overlap(기본 50자) 기준으로 분할하여 벡터 임베딩에 적합한 크기로 나눈다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/ai/rag/,embedder.py,"임베딩 생성 모듈. Ollama 임베딩 모델(mxbai-embed-large)을 사용하여 텍스트를 1024차원 벡터로 변환하며, 테스트용 더미 임베딩 모드도 지원한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/ai/rag/,document_processor.py,"문서 처리 모듈. 업로드된 파일과 대화 내용을 청킹→임베딩→ChromaDB 저장하는 RAG 파이프라인을 수행하며, 파일별 처리 결과(문서유형, 작물명, 청크수)를 상세히 반환한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/ai/rag/,data_processor.py,"데이터 처리 모듈. PostgreSQL의 센서/릴레이/최적조건 데이터를 읽어 텍스트로 변환 후 임베딩을 생성하고 ChromaDB 벡터 컬렉션에 저장하는 데이터 파이프라인을 수행한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/ai/rag/,postgres_loader.py,"PostgreSQL 직접 로더. PostgreSQL에서 센서/작물/최적조건 데이터를 직접 조회하고 임베딩을 생성하여 ChromaDB에 저장하는 통합 로더. JSON 기반 RAG 파이프라인을 대체한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/ai/learning/,__init__.py,"learning 패키지 초기화 모듈. data_analyzer, model_trainer 등 학습 관련 모듈을 패키지로 등록한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/ai/learning/,data_analyzer.py,"데이터 분석 모듈. ChromaDB에서 미학습 데이터를 가져와 패턴을 분석하고, 학습 결과를 learned_collection에 저장하며 학습 플래그를 업데이트한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/ai/learning/,model_trainer.py,"모델 학습 모듈. 센서/릴레이 데이터를 기반으로 환경 패턴을 학습하고 ChromaDB의 learned 컬렉션에 저장하며, 학습 완료 시간을 기록한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/control/,__init__.py,"control 패키지 초기화 모듈. relay_manager, schedule_control, task_scheduler 등 제어 관련 모듈을 패키지로 등록한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/control/,relay_manager.py,"릴레이 관리자 모듈. 릴레이 On/Off 설정을 PostgreSQL에 저장하고, 농장별 릴레이 매핑(기본/E버전)을 처리하며, 릴레이 현재 상태를 조회/업데이트한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/control/,schedule_control.py,"스케줄 제어 모듈. 조명과 관수밸브의 시간 기반 자동 제어를 수행하며, PostgreSQL에서 스케줄을 읽어 현재 시간에 맞게 릴레이를 자동 On/Off한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/control/,task_scheduler.py,"작업 스케줄러 모듈. APScheduler를 사용하여 데이터 전송, 통계 생성, 학습, 릴레이 설정 동기화 등의 주기적 작업(interval/cron)을 등록하고 실행한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/ui_reflex/,__init__.py,"ui_reflex 패키지 초기화 모듈. main, state, styles, components 등 UI 관련 모듈을 패키지로 등록한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/ui_reflex/,main.py,"Reflex UI 메인 페이지. Radix 테마, 한글 폰트(Noto Sans KR), 레이아웃, 라우팅을 설정하고 사이드바+채팅 영역으로 구성된 반응형 웹 UI를 생성한다. RAG 버튼과 헤더를 포함한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/ui_reflex/,state.py,"Reflex 상태 관리 모듈(대형 파일). 농장/재배사 선택, 채팅 히스토리, 파일 업로드, LLM 스트리밍 응답, RAG 수행/저장, 날씨 정보 등 UI의 모든 상태와 이벤트 핸들러를 관리한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/ui_reflex/,styles.py,"Reflex 스타일 정의 모듈. 사이드바, 채팅 버블, 입력창, 버튼, 헤더, select 드롭다운 등 UI 컴포넌트의 색상, 크기, 간격, 폰트 스타일을 상수로 정의한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/ui_reflex/components/,__init__.py,"components 패키지 초기화 모듈. sidebar, chat, chat_input, file_upload 등 UI 컴포넌트를 패키지로 등록한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/ui_reflex/components/,sidebar.py,"사이드바 컴포넌트. 농장/재배사 선택 드롭다운, 현재 선택 정보 표시, 날씨 지역 선택, 대화 기록 삭제 버튼을 포함한 좌측 패널 UI를 렌더링한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/ui_reflex/components/,chat.py,"채팅 컴포넌트. 사용자와 AI의 대화 내역을 말풍선 형태로 표시하고, 마크다운 렌더링, 자동 스크롤, 로딩 애니메이션 등을 처리한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/ui_reflex/components/,chat_input.py,"채팅 입력 컴포넌트. 텍스트 입력창(3라인), 전송 버튼, 실행 중 자전거 애니메이션 표시, 파일 업로드 영역을 포함하며 Enter 키 전송을 지원한다."
소스코드,/workspace/jayeondeule/agri_ai_core/src/ui_reflex/components/,file_upload.py,"파일 업로드 컴포넌트. 드래그앤드롭 또는 버튼 클릭으로 CSV/TXT/PDF/DOCX 파일을 업로드하고, 업로드된 파일 목록을 표시/삭제할 수 있다."
소스코드,/workspace/jayeondeule/agri_ai_core/assets/,custom.css,"Reflex UI 커스텀 스타일시트. 전체 텍스트 볼드, Reflex 브랜딩 제거, select 드롭다운 색상, 채팅 입력창, 마크다운 렌더링, 자전거 달리기 애니메이션, RAG 버튼 스타일 등을 정의한다."
소스코드,/workspace/jayeondeule/.mcp/web-search/src/,index.ts,"MCP 웹 검색 서버 TypeScript 소스 코드. axios+cheerio로 웹 페이지를 크롤링하고 텍스트를 추출하여 MCP 프로토콜로 검색 결과를 제공하는 서버를 구현한다."
소스코드,/workspace/jayeondeule/raspi/v1/,config.py,"라즈베리 파이 v1 설정 모듈. GPIO 핀 번호, I2C 센서 주소, PostgreSQL 접속 정보, 데이터 수집 주기 등 v1 하드웨어 제어에 필요한 상수를 정의한다."
소스코드,/workspace/jayeondeule/raspi/v1/,jayeondeule.py,"라즈베리 파이 v1 메인 실행 파일. 센서 데이터 읽기, 릴레이 제어, PostgreSQL 저장을 주기적으로 수행하는 메인 루프를 실행한다."
소스코드,/workspace/jayeondeule/raspi/v1/,main.py,"라즈베리 파이 v1 대체 메인 파일. jayeondeule.py와 동일한 메인 루프를 별도 진입점으로 제공한다."
소스코드,/workspace/jayeondeule/raspi/v1/,log_handler.py,"라즈베리 파이 v1 로그 핸들러. 센서 읽기, 릴레이 제어, DB 저장 등의 이벤트를 파일과 콘솔에 기록한다."
소스코드,/workspace/jayeondeule/raspi/v1/,test.py,"라즈베리 파이 v1 테스트 스크립트. GPIO, 센서, DB 연결 등 하드웨어 인터페이스의 정상 동작을 테스트한다."
소스코드,/workspace/jayeondeule/raspi/v1/gpio/,gpio_config.py,"라즈베리 파이 v1 GPIO 설정 모듈. 릴레이 핀 번호, 동작 모드(HIGH/LOW active), 매핑 정보를 정의한다."
소스코드,/workspace/jayeondeule/raspi/v1/gpio/,gpio_control.py,"라즈베리 파이 v1 GPIO 제어 모듈. RPi.GPIO 라이브러리를 사용하여 릴레이를 On/Off하고 현재 상태를 조회한다."
소스코드,/workspace/jayeondeule/raspi/v1/sensor/,__init__.py,"라즈베리 파이 v1 sensor 패키지 초기화 모듈."
소스코드,/workspace/jayeondeule/raspi/v1/sensor/,sensor_config.py,"라즈베리 파이 v1 센서 설정 모듈. I2C 주소, ADC 채널, 센서 유형별 변환 계수 등을 정의한다."
소스코드,/workspace/jayeondeule/raspi/v1/sensor/,sensor_control.py,"라즈베리 파이 v1 센서 제어 모듈. I2C/ADC 통신으로 온도, 습도, CO2, 조도 등의 센서 데이터를 읽고 물리량으로 변환한다."
소스코드,/workspace/jayeondeule/raspi/v1/sql/,sql_config.py,"라즈베리 파이 v1 SQL 설정 모듈. PostgreSQL 접속 정보와 테이블명을 정의한다."
소스코드,/workspace/jayeondeule/raspi/v1/sql/,sql_control.py,"라즈베리 파이 v1 SQL 제어 모듈. psycopg2로 PostgreSQL에 연결하여 센서 데이터 INSERT, 릴레이 상태 UPDATE 등의 쿼리를 실행한다."
소스코드,/workspace/jayeondeule/raspi/v1/sql/,sql_query.py,"라즈베리 파이 v1 SQL 쿼리 정의 모듈. 센서 데이터 저장, 릴레이 상태 업데이트 등 자주 사용하는 SQL문을 상수로 정의한다."
소스코드,/workspace/jayeondeule/raspi/v1/sql/,sql_format.py,"라즈베리 파이 v1 SQL 포맷 모듈. 센서/릴레이 데이터를 SQL INSERT 형식에 맞게 포맷팅하는 헬퍼 함수를 제공한다."
소스코드,/workspace/jayeondeule/raspi/v1/sql/,db_layout.py,"라즈베리 파이 v1 데이터베이스 레이아웃 정의. PostgreSQL 테이블 구조(센서, 릴레이, 설정)와 컬럼 타입을 정의한다."
소스코드,/workspace/jayeondeule/raspi/v2/,config.py,"라즈베리 파이 v2 설정 모듈. v1 대비 개선된 GPIO 핀 배치, 추가 센서, 확장된 PostgreSQL 설정 등 v2 하드웨어에 맞는 상수를 정의한다."
소스코드,/workspace/jayeondeule/raspi/v2/,jayeondeule.py,"라즈베리 파이 v2 메인 실행 파일. v2 하드웨어에 맞게 센서 읽기, 릴레이 제어, DB 저장을 수행하는 메인 루프를 실행한다."
소스코드,/workspace/jayeondeule/raspi/v2/,log_handler.py,"라즈베리 파이 v2 로그 핸들러. v2 하드웨어 이벤트를 파일과 콘솔에 기록한다."
소스코드,/workspace/jayeondeule/raspi/v2/gpio/,gpio_config.py,"라즈베리 파이 v2 GPIO 설정 모듈. v2 보드에 맞는 릴레이 핀 번호와 동작 모드를 정의한다."
소스코드,/workspace/jayeondeule/raspi/v2/gpio/,gpio_control.py,"라즈베리 파이 v2 GPIO 제어 모듈. v2 하드웨어의 릴레이를 On/Off하고 현재 상태를 조회한다."
소스코드,/workspace/jayeondeule/raspi/v2/sensor/,__init__.py,"라즈베리 파이 v2 sensor 패키지 초기화 모듈."
소스코드,/workspace/jayeondeule/raspi/v2/sensor/,sensor_config.py,"라즈베리 파이 v2 센서 설정 모듈. v2 보드의 I2C 주소, ADC 채널, 센서별 변환 계수를 정의한다."
소스코드,/workspace/jayeondeule/raspi/v2/sensor/,sensor_control.py,"라즈베리 파이 v2 센서 제어 모듈. v2 하드웨어의 센서 데이터를 I2C/ADC 통신으로 읽고 변환한다."
소스코드,/workspace/jayeondeule/raspi/v2/sql/,sql_config.py,"라즈베리 파이 v2 SQL 설정 모듈. v2용 PostgreSQL 접속 정보와 테이블명을 정의한다."
소스코드,/workspace/jayeondeule/raspi/v2/sql/,sql_control.py,"라즈베리 파이 v2 SQL 제어 모듈. v2 센서/릴레이 데이터를 PostgreSQL에 저장/조회한다."
소스코드,/workspace/jayeondeule/raspi/v2/sql/,sql_query.py,"라즈베리 파이 v2 SQL 쿼리 정의 모듈. v2에서 사용하는 INSERT/UPDATE/SELECT 쿼리를 상수로 정의한다."
소스코드,/workspace/jayeondeule/raspi/v2/sql/,sql_format.py,"라즈베리 파이 v2 SQL 포맷 모듈. v2 센서/릴레이 데이터를 SQL 형식으로 포맷팅한다."
소스코드,/workspace/jayeondeule/raspi/v2/sql/,db_layout.py,"라즈베리 파이 v2 데이터베이스 레이아웃. v2 테이블 구조와 컬럼 정의를 포함한다."
소스코드,/workspace/jayeondeule/raspi/v3/,config.py,"라즈베리 파이 v3 설정 모듈. 최신 v3 하드웨어에 맞는 GPIO 핀, 센서 주소, DB 접속 정보 등의 상수를 정의한다."
소스코드,/workspace/jayeondeule/raspi/v3/,jayeondeule.py,"라즈베리 파이 v3 메인 실행 파일. v3 하드웨어에 최적화된 센서 읽기, 릴레이 제어, DB 저장 메인 루프를 실행한다."
소스코드,/workspace/jayeondeule/raspi/v3/,log_handler.py,"라즈베리 파이 v3 로그 핸들러. v3 하드웨어 이벤트를 파일과 콘솔에 기록한다."
소스코드,/workspace/jayeondeule/raspi/v3/,test.py,"라즈베리 파이 v3 테스트 스크립트. v3 하드웨어 인터페이스(GPIO, 센서, DB)의 정상 동작을 테스트한다."
소스코드,/workspace/jayeondeule/raspi/v3/gpio/,gpio_config.py,"라즈베리 파이 v3 GPIO 설정 모듈. v3 보드의 릴레이 핀 번호와 동작 모드를 정의한다."
소스코드,/workspace/jayeondeule/raspi/v3/gpio/,gpio_control.py,"라즈베리 파이 v3 GPIO 제어 모듈. v3 하드웨어의 릴레이를 On/Off하고 현재 상태를 조회한다."
소스코드,/workspace/jayeondeule/raspi/v3/sensor/,__init__.py,"라즈베리 파이 v3 sensor 패키지 초기화 모듈."
소스코드,/workspace/jayeondeule/raspi/v3/sensor/,sensor_config.py,"라즈베리 파이 v3 센서 설정 모듈. v3 보드의 I2C 주소, ADC 채널, 센서별 변환 계수를 정의한다."
소스코드,/workspace/jayeondeule/raspi/v3/sensor/,sensor_control.py,"라즈베리 파이 v3 센서 제어 모듈. v3 하드웨어의 센서 데이터를 I2C/ADC 통신으로 읽고 변환한다."
소스코드,/workspace/jayeondeule/raspi/v3/sql/,sql_config.py,"라즈베리 파이 v3 SQL 설정 모듈. v3용 PostgreSQL 접속 정보와 테이블명을 정의한다."
소스코드,/workspace/jayeondeule/raspi/v3/sql/,sql_control.py,"라즈베리 파이 v3 SQL 제어 모듈. v3 센서/릴레이 데이터를 PostgreSQL에 저장/조회한다."
소스코드,/workspace/jayeondeule/raspi/v3/sql/,sql_query.py,"라즈베리 파이 v3 SQL 쿼리 정의 모듈. v3에서 사용하는 INSERT/UPDATE/SELECT 쿼리를 상수로 정의한다."
소스코드,/workspace/jayeondeule/raspi/v3/sql/,sql_format.py,"라즈베리 파이 v3 SQL 포맷 모듈. v3 센서/릴레이 데이터를 SQL 형식으로 포맷팅한다."
소스코드,/workspace/jayeondeule/raspi/v3/sql/,db_layout.py,"라즈베리 파이 v3 데이터베이스 레이아웃. v3 테이블 구조와 컬럼 정의를 포함한다."
